lastWorkName,equivalence,count,equals
Analista De Inteligencia Comercial,Analista De Inteligencia Comercial,5,TRUE
Analista De Inteligencia Comercial Y Gd,Analista De Inteligencia Comercial Y Gd,1,TRUE
Analista De Inteligencia De Mercado,Analista De Inteligencia De Mercado,1,TRUE
Analista De Inteligencia De Negocio,Analista De Inteligencia De Negocios,1,FALSE
Analista De Inteligencia De Negocios,Analista De Inteligencia De Negocios,11,TRUE
Analista De Inteligencia De Negocios - Junior,Analista De Inteligencia De Negocios,2,FALSE
Analista De Investigacion Y Desarrollo,Analista De Investigacion Y Desarrollo,1,TRUE
Analista De Laboratorio,Analista De Laboratorio,1,TRUE
Analista De Licenciamiento Y Gestion De Activos Ti,Analista De Licenciamiento Y Gestion De Activos Ti,3,TRUE
Analista De Licitaciones,Analista De Licitaciones,11,TRUE
Analista De Logistica E Inventarios,Analista De Logistica E Inventarios,2,TRUE
Analista De Logistica Y Servicios Generales,Analista De Logistica Y Servicios Generales,1,TRUE
Analista De Marketing,Analista De Marketing,6,TRUE
Analista De Medios,Analista De Medios,1,TRUE
Analista De Medios De Pagos,Analista De Medios De Pagos,4,TRUE
Analista De Mejora Continua,Analista De Mejora Continua,4,TRUE
Analista De Mejora De Procesos,Analista De Mejora De Procesos,1,TRUE
Analista De Mejoras,Analista De Mejoras,1,TRUE
Analista De Mercado,Analista De Mercado,1,TRUE
Analista De Mesa Ayuda,Analista De Mesa Ayuda,1,TRUE
Analista De Mesa De Ayuda,Analista De Mesa De Ayuda,4,TRUE
Analista De Modelos Y Analytics,Analista De Modelos Y Analytics,1,TRUE
Analista De Monitoreo,Analista De Monitoreo,1,TRUE
Analista De Monitoreo Y Seguimiento,Analista De Monitoreo Y Seguimiento,1,TRUE
Analista De Negocio,Analista De Negocio,2,TRUE
Analista De Negocios,Analista De Negocios,3,TRUE
Analista De Negocios Mype,Analista De Negocios Mype,1,TRUE
Analista De Nominas Y Compensaciones,Analista De Nominas Y Compensaciones,1,TRUE
Analista De Operaciones,Analista De Operaciones,7,TRUE
Analista De Operaciones Bi,Analista De Operaciones Bi,2,TRUE
Analista De Operaciones De Becas Universitarias,Analista De Operaciones De Becas Universitarias,1,TRUE
Analista De Operaciones De Planta Externa,Analista De Operaciones De Planta Externa,1,TRUE
Analista De Operaciones De Transmision,Analista De Operaciones De Transmision,1,TRUE
Analista De Operaciones Digitales,Analista De Operaciones Digitales,1,TRUE
Analista De Operaciones Ti,Analista De Operaciones Ti,1,TRUE
Analista De Organizacion Y Metodos,Analista De Organizacion Y Metodos,2,TRUE
Analista De Paginas Web,Analista De Paginas Web,1,TRUE
