nombreUltimoEstudio,equivalencia,cantidad,igual
Arquitecto Desarrollador Web - Net Core,Arquitecto Desarrollador Web - Net Core,1,TRUE
Arquitectura,Arquitectura,5,TRUE
Arquitectura Con Google Cloud Platform,Arquitectura Con Google Cloud Platform,1,TRUE
Arquitectura De Aplicaciones Java Ee,Arquitectura De Aplicaciones Java Ee,2,TRUE
Arquitectura De Datos Cloud - Aws,Arquitectura De Datos Cloud - Aws,1,TRUE
Arquitectura De Datos En Cloud,Arquitectura De Datos En Cloud,2,TRUE
Arquitectura De Interiores,Arquitectura De Interiores,1,TRUE
Arquitectura Empresarial Aplicada,Arquitectura Empresarial Aplicada,1,TRUE
Arquitectura Orientada Al Servicio,Arquitectura Orientada Al Servicio,1,TRUE
Arquitectura Y Urbanismo,Arquitectura Y Urbanismo,2,TRUE
"Arquitectura, Urbanismo Y Artes","Arquitectura, Urbanismo Y Artes",1,TRUE
Arte,Arte,1,TRUE
Arte Y Diseno Empresarial,Arte Y Diseno Empresarial,1,TRUE
Arte Y Diseno Grafico Empresarial,Arte Y Diseno Grafico Empresarial,3,TRUE
Asignaturas Y Visitas Empresariales,Asignaturas Y Visitas Empresariales,1,TRUE
Asistenta Social,Asistenta Social,1,TRUE
Asistente Administrativo,Asistente Administrativo,1,TRUE
"Asistente De Contabilidad, Finanzas Y Tributacion","Asistente De Contabilidad, Finanzas Y Tributacion",1,TRUE
Asistente De Gerencia,Asistente De Gerencia,1,TRUE
Asistente De Logistica,Asistente De Logistica,1,TRUE
Asistente De Planilla,Asistente De Planilla,2,TRUE
Asistente De Planillas,Asistente De Planillas,2,TRUE
Asp. Mvc 5 Applications,Asp.Net Mvc,1,FALSE
Asp.Net 5.0 Developer Projects,Asp.Net Mvc,1,FALSE
Asp.Net Mvc,Asp.Net Mvc,18,TRUE
Auditor Interno De Sistema Integrado De Gestio...,Auditor Interno De Sistema Integrado De Gestio...,1,TRUE
Auditor Interno Iso 27001,Auditor Interno Iso 27001,1,TRUE
Auditor Interno Iso 27001:2013,Auditor Interno Iso 27001:2013,1,TRUE
Auditor Interno Iso/ Ec 2701,Auditor Interno Iso/ Ec 2701,1,TRUE
Auditor Interno Sgsi,Auditor Interno Sgsi,1,TRUE
Auditor Iso,Auditor Iso,1,TRUE
Auditor Lider Pecb Iso 45001:2018,Auditor Lider Pecb Iso 45001:2018,1,TRUE
Auditores Internos De Sistemas Integrados De Ge...,Auditores Internos De Sistemas Integrados De Ge...,1,TRUE
Auditoria De Sistema De Gestion,Auditoria De Sistema De Gestion,1,TRUE
Auditoria Iso 9001:2008,Auditoria Iso 9001:2008,1,TRUE
Autocad 2020,Autocad 2020,2,TRUE
Automatizacion,Automatizacion,1,TRUE
Automatizacion De Calidad De Software,Automatizacion De Calidad De Software,1,TRUE
Automatizacion De Pruebas Funcionales De Software,Automatizacion De Pruebas Funcionales De Software,3,TRUE
Auxilar De Laboratorio,Auxilar De Laboratorio,2,TRUE
Auxiliar De Despacho Aduanero,Auxiliar De Despacho Aduanero,2,TRUE
Auxiliar De Educacion,Auxiliar De Educacion,1,TRUE
Auxiliar Electronico,Auxiliar Electronico,1,TRUE
Auxiliar En Comercio Exterior,Auxiliar En Comercio Exterior,1,TRUE
Aviacion Comercial,Aviacion Comercial,3,TRUE
Aws,Aws,3,TRUE
Aws (Amazon Web Services),Aws (Amazon Web Services),1,TRUE
Aws Big Data Analytics Especialist,Aws Big Data Analytics Especialist,1,TRUE
Aws Big Data Analytics Specialist,Aws Big Data Analytics Specialist,2,TRUE
Aws Certified Cloud Practitioner,Aws Certified Cloud Practitioner,2,TRUE
Aws Certified Solution Architect - Associate,Aws Certified Solution Architect - Associate,2,TRUE
Aws Cloud Practitioner,Aws Cloud Practitioner,4,TRUE
Aws Fundamentals: Building Serverless Apps,Aws Fundamentals: Building Serverless Apps,4,TRUE
Aws Fundamentals: Going Cloud-Native,Aws Fundamentals: Going Cloud-Native,1,TRUE
Aws Fundamentos,Aws Fundamentos,1,TRUE
Aws On Big Data,Aws On Big Data,1,TRUE
Aws Practitioner,Aws Practitioner,1,TRUE
Aws Technical Essentials,Aws Technical Essentials,1,TRUE
Az 900 Ms Azure Fundamentals,Az 900 Ms Azure Fundamentals,1,TRUE
Az-204: Developing Solutions For Microsoft Azure,Az-204: Developing Solutions For Microsoft Azure,1,TRUE
Azure Developer,Azure Developer,2,TRUE
Azure Devops,Azure Devops,3,TRUE
Bach En Ingenieria Industrial,Bach En Ingenieria Industrial,1,TRUE
Bach. Ingenieria Informatica / Ing. Informatica,Bach. Ingenieria Informatica / Ing. Informatica,1,TRUE
Bachelor Applied Technology,Bachelor Applied Technology,1,TRUE
Bachelor Of Science In Psychology,Bachelor Of Science In Psychology,1,TRUE
Bachicher En Ciencia De La Comunicacion,Bachicher En Ciencia De La Comunicacion,1,TRUE
Bachiler En Adm. Y Negocios Internacionales,Bachiler En Adm. Y Negocios Internacionales,1,TRUE
Bachiler Ingenieria De Computacion Y Sistemas,Bachiler Ingenieria De Computacion Y Sistemas,3,TRUE
Bachiller,Bachiller,45,TRUE
Bachiller - Administracion De Empresas,Bachiller - Administracion De Empresas,1,TRUE
Bachiller - Administracion De Negocios,Bachiller - Administracion De Negocios,2,TRUE
Bachiller - Ing Computacion Y Sistemas,Bachiller - Ing Computacion Y Sistemas,1,TRUE
Bachiller - Ingenieria Industrial,Bachiller - Ingenieria Industrial,1,TRUE
