lastWorkCenter,equivalence,count,equals
Blessmed S.A.C. / Blessking Medilabs S.A.C,Blessmed S.A.C. / Blessking Medilabs S.A.C,2,TRUE
Blinsegur,Blinsegur,1,TRUE
Blue Tab S.A.C.,Blue Tab S.A.C.,1,TRUE
Bluebox Upholstery Supply E.I.R.L.,Bluebox Upholstery Supply E.I.R.L.,1,TRUE
Bluefokus,Bluefokus,1,TRUE
Blueit,Blueit,3,TRUE
Bluesmile Tech (Asignado A Cliente Telefonica),Bluesmile Tech (Asignado A Cliente Telefonica),5,TRUE
Bluetab,Bluetab Ibm Company,1,FALSE
Bluetab Ibm Company,Bluetab Ibm Company,1,TRUE
Bluetab Peru,Bluetab Ibm Company,1,FALSE
Bluetab Solutions,Bluetab Ibm Company,2,FALSE
Bluetab Solutions Peru,Bluetab Ibm Company,1,FALSE
"Bluetab, An Ibm Company",Bluetab Ibm Company,1,FALSE
Blum Saf,Blum Saf,1,TRUE
Bmp Consulting Sac,Bmp Consulting Sac,1,TRUE
Bnp Paribas Cardif Peru,Bnp Paribas Cardif Peru,1,TRUE
Board S.A.C,Board S.A.C,3,TRUE
Bocatta,Bocatta,1,TRUE
Bodega Belizario,Bodega Belizario,1,TRUE
Bolsa De Valores De Lima S.A.A.,Bolsa De Valores De Lima S.A.A.,1,TRUE
Bomi Group Peru,Bomi Group Peru,1,TRUE
Boost2R,Boost2R,1,TRUE
Bowe Consulting Business Eirl,Bowe Consulting Business Eirl,1,TRUE
Bpo Peru S.A.C,Bpo Peru S.A.C,1,TRUE
Bps Consultores,Bps Consultores,1,TRUE
Bpz Exploracion Y Produccion,Bpz Exploracion Y Produccion,1,TRUE
Brammertz Ingenieros,Brammertz Ingenieros,1,TRUE
Bransa Eirl,Bransa Eirl,1,TRUE
Brezal,Brezal,1,TRUE
Brightstar Logistica S.A.C.,Brightstar Logistica S.A.C.,4,TRUE
Britanico - Asociacion Cultural Peruano Britanica,Britanico - Asociacion Cultural Peruano Britanica,1,TRUE
British American Tobacco Del Peru Sac,British American Tobacco Del Peru Sac,1,TRUE
Brtish American Tobacco,Brtish American Tobacco,1,TRUE
Bsg Institute,Bsg Institute,2,TRUE
Bsh Electrodomesticos S.A.C,Bsh Electrodomesticos S.A.C,1,TRUE
Bullmining Peru,Bullmining Peru,1,TRUE
Bungalows Mancora,Bungalows Mancora,1,TRUE
Burger King,Burger King,1,TRUE
Buro Principal Partners Sac,Buro Principal Partners Sac,3,TRUE
Busa Vehiculos Especiales Sac,Busa Vehiculos Especiales Sac,1,TRUE
Business Analytics,Business Analytics Sac,3,FALSE
Business Analytics Sac,Business Analytics Sac,2,TRUE
Business Easy Fast Eirl,Business Easy Fast Eirl,1,TRUE
Business Insight Center,Business Insight Center,2,TRUE
Business Technology Group,Business Technology Group,1,TRUE
Bwit Peru Sac,Bwit Peru Sac,2,TRUE
By Canas Verdes,By Canas Verdes,1,TRUE
Bybcom S.A.C.,Bybcom S.A.C.,1,TRUE
C&Amp;C Proenerg,C&Amp;C Proenerg,1,TRUE
C&Amp;J Constructores,C&Amp;J Constructores,1,TRUE
C&Amp;R Grupo Inmobiliario,C&Amp;R Grupo Inmobiliario,1,TRUE
C.E.G.N.E. San Luis,C.E.G.N.E. San Luis,2,TRUE
C2 Mining,C2 Mining Solutions S.A.C.,1,FALSE
C2 Mining Solutions S.A.C.,C2 Mining Solutions S.A.C.,1,TRUE
Ca Sistemas,Ca Sistemas Empresariales,1,FALSE
Ca Sistemas Empresariales,Ca Sistemas Empresariales,1,TRUE
Cabify,Cabify,1,TRUE
Cabify Peru,Cabify,1,FALSE
